# Bispectrum monopole for SGC EZmock_realistic
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  Std_dev  Std_dev(-BSN)
1.042599999999999950e-02 2.021500000000000033e-02 3.511199999999999738e-02 1.599043952173137474e+10 1.598916491460319138e+10 2.056040486387477112e+10 2.055017189343071747e+10
1.042599999999999950e-02 2.516799999999999940e-02 2.516799999999999940e-02 1.447300613613978195e+10 1.448812295003415871e+10 9.738205176129005432e+09 9.745071585809545517e+09
1.042599999999999950e-02 2.516799999999999940e-02 3.012099999999999847e-02 1.429834492746412086e+10 1.429718313923491478e+10 6.853722525765925407e+09 6.850396749547176361e+09
1.042599999999999950e-02 2.516799999999999940e-02 3.511199999999999738e-02 1.507258247487370491e+10 1.506380638810097122e+10 8.199602276478910446e+09 8.200203099942060471e+09
1.042599999999999950e-02 2.516799999999999940e-02 4.010899999999999882e-02 1.554715248857446289e+10 1.555960632185574341e+10 1.785810819315019608e+10 1.785352998056274414e+10
1.042599999999999950e-02 3.012099999999999847e-02 3.012099999999999847e-02 1.395906710047009659e+10 1.395699700370697784e+10 8.622749163628122330e+09 8.618689628583045959e+09
1.042599999999999950e-02 3.012099999999999847e-02 3.511199999999999738e-02 1.336909770685042572e+10 1.336599481572190475e+10 5.461682384753514290e+09 5.459835366655732155e+09
1.042599999999999950e-02 3.012099999999999847e-02 4.010899999999999882e-02 1.409991694390420914e+10 1.410375549799863243e+10 6.549657849607690811e+09 6.547510769878834724e+09
1.042599999999999950e-02 3.012099999999999847e-02 4.509300000000000114e-02 1.389164151358109283e+10 1.389214543304799080e+10 1.428495102752388191e+10 1.427782279704071999e+10
1.042599999999999950e-02 3.511199999999999738e-02 3.511199999999999738e-02 1.260014124733084297e+10 1.260918612430303383e+10 6.615771952911821365e+09 6.618649682416915894e+09
1.042599999999999950e-02 3.511199999999999738e-02 4.010899999999999882e-02 1.255791825373914909e+10 1.255342179854504585e+10 4.788074240227849007e+09 4.787793885190587044e+09
1.042599999999999950e-02 3.511199999999999738e-02 4.509300000000000114e-02 1.314255052073071480e+10 1.313570348183564949e+10 5.469539303627644539e+09 5.471092775793375015e+09
