# T(k1,k2,k3) at z_eff=1.4829819053951014 SGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input-s2rebin/models/k_eff-bisp.txt 
#  Tk(k1) Tk(k2) Tk(k3)
4.632738696911685716e-01 2.399730342230936009e-01 2.345258404208170611e-01
3.526897293122041033e-01 2.399730395101106195e-01 2.345258425179418404e-01
2.790839521845052129e-01 2.399730261444372736e-01 2.345258228814020018e-01
2.413323088369784819e-01 2.370271700001918558e-01 2.331131126565948730e-01
4.344120431881051125e-01 4.344120431881051125e-01 2.147769038886191140e-01
5.801865947529709633e-01 3.306785071992240921e-01 2.147769038886191140e-01
4.464352733436633414e-01 3.399682888085322485e-01 2.113708292525640631e-01
3.584457352008415532e-01 3.416779649630217186e-01 2.080150458974320549e-01
7.715571784408237210e-01 2.679427512175600046e-01 2.147769038886191140e-01
5.955037899600242879e-01 2.727943624214918539e-01 2.113039144985544293e-01
4.612032866898447825e-01 2.783399537403051238e-01 2.078796271268119611e-01
3.526896735235561242e-01 2.790839388700950274e-01 2.074757481931376046e-01
2.840989687920665863e-01 2.749693926615502382e-01 2.074757709230106995e-01
7.851539846336821338e-01 2.331659504287315332e-01 2.111010856959149862e-01
6.151244822030360604e-01 2.368840414856194232e-01 2.078510861202666760e-01
4.632737587953812963e-01 2.373607465509316450e-01 2.074757527145343616e-01
3.526897075554935035e-01 2.373607633273250583e-01 2.074757467895677610e-01
2.790839146926750725e-01 2.373607534758237214e-01 2.074757478116402432e-01
2.399730632117131612e-01 2.345258531568077953e-01 2.074757708824446212e-01
8.023732624921283696e-01 2.094458322871233236e-01 2.053005371922667632e-01
6.179265963792938132e-01 2.096972248738213918e-01 2.050837085517594471e-01
4.632738959624628228e-01 2.096972387666974635e-01 2.050837241158460222e-01
3.526896513221530194e-01 2.096972330596968692e-01 2.050837428601703372e-01
2.790838925565548578e-01 2.096972329509146360e-01 2.050837262860646382e-01
2.373607619413504177e-01 2.096972538779528772e-01 2.050837227872089330e-01
2.108246575379306709e-01 2.072201797499116094e-01 2.038910060003703284e-01
4.344120431881051125e-01 3.306785071992240921e-01 1.870588534121170599e-01
3.420887108423187328e-01 3.310860098543687569e-01 1.831989890462385195e-01
5.801865947529709633e-01 2.679427512175600046e-01 1.870588534121170599e-01
4.463833865431469095e-01 2.726789238837208362e-01 1.838111556260491608e-01
3.511336543606788929e-01 2.783134641427384981e-01 1.804143689060618005e-01
2.840989227474344792e-01 2.749694014690369781e-01 1.800004975557643605e-01
7.715571784408237210e-01 2.295064450879357454e-01 1.870588534121170599e-01
5.954657677404404659e-01 2.329547969559631893e-01 1.837414252143462767e-01
4.611895777587703971e-01 2.368445293814860630e-01 1.804026321580807224e-01
3.526896230310162528e-01 2.373607644489845181e-01 1.800005156500424086e-01
2.790839351970606508e-01 2.373607583845080693e-01 1.800005271824066388e-01
2.399730116010070913e-01 2.345258150883984261e-01 1.800005210846876424e-01
7.851496753858517863e-01 2.039148163708251194e-01 1.835412787740952623e-01
6.151191074540386383e-01 2.070729520076009245e-01 1.803724593791769526e-01
4.632738169211880752e-01 2.074757475928729056e-01 1.800005233624689671e-01
3.526897284726345783e-01 2.074757583882888556e-01 1.800005351723426017e-01
2.790839386875907935e-01 2.074757574886090805e-01 1.800004954465442286e-01
2.373607676838448421e-01 2.074757499048964782e-01 1.800005116148657713e-01
2.096972365109878167e-01 2.050837237591361106e-01 1.800005346018089258e-01
8.023786757190420893e-01 1.819558935764393204e-01 1.778706050245361103e-01
6.179265630926814579e-01 1.822006876741927017e-01 1.776553162225930904e-01
4.632736936444954989e-01 1.822006921494590537e-01 1.776552735793190119e-01
3.526896444529133423e-01 1.822006819764316887e-01 1.776552454289920535e-01
2.790839474819281074e-01 1.822007034674985870e-01 1.776553025131624441e-01
2.373607585402194853e-01 1.822006918253504248e-01 1.776552643180102364e-01
2.074757703506411033e-01 1.822006891091752512e-01 1.776552538904023482e-01
1.832985739389325353e-01 1.797830574210176335e-01 1.764850609934947856e-01
