# S0B for NGC data 
# k1-eff  k2-eff  k3-eff S_0B(k1-eff,k2-eff,k3-eff)  S_0B
1.037300000000000028e-02 7.005400000000000515e-02 7.005400000000000515e-02 7.242900178437774658e+09 4.406788667664088249e+09
1.037300000000000028e-02 7.005400000000000515e-02 7.505299999999999472e-02 7.203469090374388695e+09 4.406788667664088249e+09
1.037300000000000028e-02 7.005400000000000515e-02 8.005400000000000016e-02 7.099195480125140190e+09 4.406788667664088249e+09
1.037300000000000028e-02 7.505299999999999472e-02 7.505299999999999472e-02 7.164038002311004639e+09 4.406788667664088249e+09
1.037300000000000028e-02 7.505299999999999472e-02 8.005400000000000016e-02 7.059764392061755180e+09 4.406788667664088249e+09
1.037300000000000028e-02 8.005400000000000016e-02 8.005400000000000016e-02 6.955490781812506676e+09 4.406788667664088249e+09
1.525999999999999926e-02 1.525999999999999926e-02 1.525999999999999926e-02 1.012591096177022934e+10 4.406788667664088249e+09
1.525999999999999926e-02 1.525999999999999926e-02 2.019699999999999968e-02 1.034336240005055618e+10 4.406788667664088249e+09
1.525999999999999926e-02 1.525999999999999926e-02 2.516699999999999840e-02 1.003459506984372330e+10 4.406788667664088249e+09
1.525999999999999926e-02 1.525999999999999926e-02 3.013700000000000059e-02 9.572664691244611740e+09 4.406788667664088249e+09
1.525999999999999926e-02 1.525999999999999926e-02 3.511100000000000332e-02 9.306940155337957382e+09 4.406788667664088249e+09
1.525999999999999926e-02 2.019699999999999968e-02 2.019699999999999968e-02 1.056081383833088303e+10 4.406788667664088249e+09
1.525999999999999926e-02 2.019699999999999968e-02 2.516699999999999840e-02 1.025204650812405014e+10 4.406788667664088249e+09
1.525999999999999926e-02 2.019699999999999968e-02 3.013700000000000059e-02 9.790116129524938583e+09 4.406788667664088249e+09
1.525999999999999926e-02 2.019699999999999968e-02 3.511100000000000332e-02 9.524391593618284225e+09 4.406788667664088249e+09
1.525999999999999926e-02 2.019699999999999968e-02 4.009599999999999970e-02 9.160132732406127930e+09 4.406788667664088249e+09
1.525999999999999926e-02 2.516699999999999840e-02 2.516699999999999840e-02 9.943279177917221069e+09 4.406788667664088249e+09
1.525999999999999926e-02 2.516699999999999840e-02 3.013700000000000059e-02 9.481348799318105698e+09 4.406788667664088249e+09
1.525999999999999926e-02 2.516699999999999840e-02 3.511100000000000332e-02 9.215624263411453247e+09 4.406788667664088249e+09
1.525999999999999926e-02 2.516699999999999840e-02 4.009599999999999970e-02 8.851365402199296951e+09 4.406788667664088249e+09
1.525999999999999926e-02 2.516699999999999840e-02 4.509300000000000114e-02 8.749865872994873047e+09 4.406788667664088249e+09
1.525999999999999926e-02 3.013700000000000059e-02 3.013700000000000059e-02 9.019418420718994141e+09 4.406788667664088249e+09
1.525999999999999926e-02 3.013700000000000059e-02 3.511100000000000332e-02 8.753693884812339783e+09 4.406788667664088249e+09
1.525999999999999926e-02 3.013700000000000059e-02 4.009599999999999970e-02 8.389435023600184441e+09 4.406788667664088249e+09
1.525999999999999926e-02 3.013700000000000059e-02 4.509300000000000114e-02 8.287935494395759583e+09 4.406788667664088249e+09
1.525999999999999926e-02 3.013700000000000059e-02 5.009299999999999864e-02 8.045584651937498093e+09 4.406788667664088249e+09
1.525999999999999926e-02 3.511100000000000332e-02 3.511100000000000332e-02 8.487969348905686378e+09 4.406788667664088249e+09
1.525999999999999926e-02 3.511100000000000332e-02 4.009599999999999970e-02 8.123710487693530083e+09 4.406788667664088249e+09
1.525999999999999926e-02 3.511100000000000332e-02 4.509300000000000114e-02 8.022210958489106178e+09 4.406788667664088249e+09
1.525999999999999926e-02 3.511100000000000332e-02 5.009299999999999864e-02 7.779860116030844688e+09 4.406788667664088249e+09
1.525999999999999926e-02 3.511100000000000332e-02 5.507800000000000196e-02 7.766421455106315613e+09 4.406788667664088249e+09
1.525999999999999926e-02 4.009599999999999970e-02 4.009599999999999970e-02 7.759451626481374741e+09 4.406788667664088249e+09
1.525999999999999926e-02 4.009599999999999970e-02 4.509300000000000114e-02 7.657952097276950836e+09 4.406788667664088249e+09
1.525999999999999926e-02 4.009599999999999970e-02 5.009299999999999864e-02 7.415601254818688393e+09 4.406788667664088249e+09
1.525999999999999926e-02 4.009599999999999970e-02 5.507800000000000196e-02 7.402162593894159317e+09 4.406788667664088249e+09
1.525999999999999926e-02 4.009599999999999970e-02 6.006700000000000234e-02 7.149893337304980278e+09 4.406788667664088249e+09
1.525999999999999926e-02 4.509300000000000114e-02 4.509300000000000114e-02 7.556452568072525978e+09 4.406788667664088249e+09
1.525999999999999926e-02 4.509300000000000114e-02 5.009299999999999864e-02 7.314101725614264488e+09 4.406788667664088249e+09
1.525999999999999926e-02 4.509300000000000114e-02 5.507800000000000196e-02 7.300663064689735413e+09 4.406788667664088249e+09
1.525999999999999926e-02 4.509300000000000114e-02 6.006700000000000234e-02 7.048393808100555420e+09 4.406788667664088249e+09
1.525999999999999926e-02 4.509300000000000114e-02 6.505900000000000571e-02 7.016299323669487000e+09 4.406788667664088249e+09
1.525999999999999926e-02 5.009299999999999864e-02 5.009299999999999864e-02 7.071750883156003952e+09 4.406788667664088249e+09
1.525999999999999926e-02 5.009299999999999864e-02 5.507800000000000196e-02 7.058312222231473923e+09 4.406788667664088249e+09
1.525999999999999926e-02 5.009299999999999864e-02 6.006700000000000234e-02 6.806042965642293930e+09 4.406788667664088249e+09
