# Tk at z_eff=1.7584 (p=1.6, NGC) raw output of classy 
#  dict_keys(['k (h/Mpc)', 'd_g', 'd_b', 'd_cdm', 'd_ur', 'd_ncdm[0]', 'd_tot', 'phi', 'psi'])
6.675411010677707868e-02 -1.535217480826196190e-01 -3.819904178822880567e+03 -3.849592660533065100e+03 -1.481237966601131328e-01 -2.346782911594692962e+02 -3.825881638749385274e+03 1.230386630693507399e-01 1.230386629521176972e-01
6.988172453642764459e-02 -1.471718064322816433e-01 -4.014692856835210932e+03 -4.044177920711686056e+03 -1.419969214771544808e-01 -2.281053957761737081e+02 -4.019453080359325213e+03 1.179521386294388741e-01 1.179521385255483390e-01
7.296696933989939293e-02 -1.409565120435086472e-01 -4.192539969924022444e+03 -4.223089098442423165e+03 -1.360000190065407955e-01 -2.212299236147071326e+02 -4.197231524213953890e+03 1.129734480608720060e-01 1.129734479685290949e-01
7.603765997589209680e-02 -1.347843991775506400e-01 -4.352586360195478846e+03 -4.385582748830020137e+03 -1.300448285422434180e-01 -2.139012495464057224e+02 -4.358458522912647823e+03 1.080292839359827395e-01 1.080292838538221278e-01
7.911454529889075382e-02 -1.286303958264662650e-01 -4.494714478294542459e+03 -4.531535899323534068e+03 -1.241071506086311033e-01 -2.061776412925172224e+02 -4.503012862676453551e+03 1.030995034777994757e-01 1.030995034046914977e-01
8.221385964216429421e-02 -1.225175957805488547e-01 -4.619919783112251935e+03 -4.661806303394239876e+03 -1.182092548952957400e-01 -1.982356510785858745e+02 -4.631770279527218918e+03 9.820260073476527740e-02 9.820260066971117641e-02
8.534883475414022092e-02 -1.165037416432231770e-01 -4.730558478820463279e+03 -4.778476798819468968e+03 -1.124068462186434969e-01 -1.901455871453202349e+02 -4.746846057743368874e+03 9.338475880978040766e-02 9.338475875191691589e-02
8.853064283441744453e-02 -1.106698550483852933e-01 -4.830493818243682654e+03 -4.885006203352907505e+03 -1.067780880579349556e-01 -1.820344015876598576e+02 -4.851745151734186038e+03 8.871085923807833784e-02 8.871085918661827940e-02
9.176900992719827510e-02 -1.051079548969470756e-01 -4.925019843685016895e+03 -4.986174377574988284e+03 -1.014117555011611743e-01 -1.741549086774499813e+02 -4.951304494486528711e+03 8.425459170200852443e-02 8.425459165621063118e-02
9.507262892646779762e-02 -9.990825125440716548e-02 -5.020549674070526635e+03 -5.087815879154290997e+03 -9.639488136620631697e-02 -1.667085062931362813e+02 -5.051420104003963388e+03 8.008819631165185748e-02 8.008819627082600090e-02
