# Tk at z_eff=1.4941 (FKP, NGC) 
#  k(h/Mpc) Tk
3.975104820420864438e-01 1.985038942134146125e-02
4.025103518337533881e-01 1.947842867102860323e-02
4.075102248205951794e-01 1.910803351145743886e-02
4.125101008864293095e-01 1.873924038636710226e-02
4.175099799206386519e-01 1.840225516855505811e-02
4.225098618178422805e-01 1.806526975778098912e-02
4.275097464775888811e-01 1.773039044037209161e-02
4.325096338040718136e-01 1.743232051744561528e-02
4.375095237058644337e-01 1.713425044099120553e-02
4.425094160956717371e-01 1.683618021621298075e-02
4.475093108901003758e-01 1.656181503914830669e-02
4.525092080094419988e-01 1.629015441879263018e-02
4.575091073774734673e-01 1.601849367625834270e-02
4.625090089212670064e-01 1.575597158845335258e-02
4.675089125710146232e-01 1.550071693375772684e-02
4.725088182598634057e-01 1.524546217496208084e-02
4.775087259237600357e-01 1.499034056231001409e-02
4.825086355013064598e-01 1.475773125437098050e-02
4.875085469336231658e-01 1.452512186014301952e-02
4.925084601642217286e-01 1.429251238225412446e-02
4.975083751388841846e-01 1.406534661125144470e-02
5.025082918055508996e-01 1.385859617345550597e-02
5.075082101142136537e-01 1.365184566776175661e-02
5.125081300168151666e-01 1.344509509615740041e-02
5.175080514671562826e-01 1.324063693802937994e-02
5.225079744208052102e-01 1.305186930349233436e-02
5.275078988350154763e-01 1.286310161381309589e-02
5.325078246686455463e-01 1.267433387054492898e-02
5.375077518820847722e-01 1.248556607518329711e-02
5.425076804371832262e-01 1.230945081481044784e-02
5.475076102971838665e-01 1.213877415454896712e-02
5.525075414266604756e-01 1.196809745095289354e-02
5.575074737914578193e-01 1.179742070518814516e-02
5.625074073586348034e-01 1.162674391837919402e-02
5.675073420964109605e-01 1.147249588346674690e-02
5.725072779741171569e-01 1.132118535611478793e-02
5.775072149621447437e-01 1.116987479516173484e-02
