# Bispectrum RIC correction for sample NGC and SN subtraction False 
#  k1_eff k2_eff k3_eff Wk_ric
1.525999999999999926e-02 7.005400000000000515e-02 7.505299999999999472e-02 -4.741681061292528539e-03
1.525999999999999926e-02 7.005400000000000515e-02 8.005400000000000016e-02 -3.987674356723765190e-03
1.525999999999999926e-02 7.505299999999999472e-02 7.505299999999999472e-02 2.435251298952903487e-03
1.525999999999999926e-02 7.505299999999999472e-02 8.005400000000000016e-02 -5.044228482538852185e-03
1.525999999999999926e-02 8.005400000000000016e-02 8.005400000000000016e-02 -4.772334644291562414e-03
2.019699999999999968e-02 2.019699999999999968e-02 2.019699999999999968e-02 -9.976661849245505032e-03
2.019699999999999968e-02 2.019699999999999968e-02 2.516699999999999840e-02 -1.154158980773012551e-02
2.019699999999999968e-02 2.019699999999999968e-02 3.013700000000000059e-02 5.079122377841626193e-03
2.019699999999999968e-02 2.019699999999999968e-02 3.511100000000000332e-02 7.034374974560814349e-03
2.019699999999999968e-02 2.019699999999999968e-02 4.009599999999999970e-02 -3.281053336618667323e-03
2.019699999999999968e-02 2.019699999999999968e-02 4.509300000000000114e-02 -1.867414049061254244e-02
2.019699999999999968e-02 2.516699999999999840e-02 2.516699999999999840e-02 6.661924709802953017e-03
2.019699999999999968e-02 2.516699999999999840e-02 3.013700000000000059e-02 2.188897029862676112e-03
2.019699999999999968e-02 2.516699999999999840e-02 3.511100000000000332e-02 9.910591590294661954e-03
2.019699999999999968e-02 2.516699999999999840e-02 4.009599999999999970e-02 4.567992564640251975e-03
2.019699999999999968e-02 2.516699999999999840e-02 4.509300000000000114e-02 4.196502726580755155e-03
2.019699999999999968e-02 2.516699999999999840e-02 5.009299999999999864e-02 -3.634380875955739356e-03
2.019699999999999968e-02 3.013700000000000059e-02 3.013700000000000059e-02 7.182562489782255309e-04
2.019699999999999968e-02 3.013700000000000059e-02 3.511100000000000332e-02 9.813462383899214294e-04
2.019699999999999968e-02 3.013700000000000059e-02 4.009599999999999970e-02 7.753345829409387120e-04
2.019699999999999968e-02 3.013700000000000059e-02 4.509300000000000114e-02 -2.041175102430853403e-03
2.019699999999999968e-02 3.013700000000000059e-02 5.009299999999999864e-02 -1.452208569012497898e-03
2.019699999999999968e-02 3.013700000000000059e-02 5.507800000000000196e-02 9.074249728491858361e-03
2.019699999999999968e-02 3.511100000000000332e-02 3.511100000000000332e-02 -2.203008676252403691e-03
2.019699999999999968e-02 3.511100000000000332e-02 4.009599999999999970e-02 -2.732236143773000316e-03
2.019699999999999968e-02 3.511100000000000332e-02 4.509300000000000114e-02 1.643552028498900235e-04
2.019699999999999968e-02 3.511100000000000332e-02 5.009299999999999864e-02 7.418782737430808976e-05
2.019699999999999968e-02 3.511100000000000332e-02 5.507800000000000196e-02 -5.577334698039662295e-03
2.019699999999999968e-02 3.511100000000000332e-02 6.006700000000000234e-02 -7.555038453729834118e-03
2.019699999999999968e-02 4.009599999999999970e-02 4.009599999999999970e-02 2.496187928235988479e-03
2.019699999999999968e-02 4.009599999999999970e-02 4.509300000000000114e-02 -2.819267572382809853e-03
2.019699999999999968e-02 4.009599999999999970e-02 5.009299999999999864e-02 -4.517455040145751388e-03
2.019699999999999968e-02 4.009599999999999970e-02 5.507800000000000196e-02 1.370097819201758537e-03
2.019699999999999968e-02 4.009599999999999970e-02 6.006700000000000234e-02 8.629273124073586496e-04
2.019699999999999968e-02 4.009599999999999970e-02 6.505900000000000571e-02 4.617770429897483271e-03
2.019699999999999968e-02 4.509300000000000114e-02 4.509300000000000114e-02 -6.399711755363057461e-03
2.019699999999999968e-02 4.509300000000000114e-02 5.009299999999999864e-02 1.254282980149774938e-03
2.019699999999999968e-02 4.509300000000000114e-02 5.507800000000000196e-02 -3.146819684204257839e-03
2.019699999999999968e-02 4.509300000000000114e-02 6.006700000000000234e-02 4.410624376506036234e-04
2.019699999999999968e-02 4.509300000000000114e-02 6.505900000000000571e-02 -3.880231550128693837e-04
2.019699999999999968e-02 4.509300000000000114e-02 7.005400000000000515e-02 -1.318460097240614463e-03
2.019699999999999968e-02 5.009299999999999864e-02 5.009299999999999864e-02 2.435797910887111198e-04
2.019699999999999968e-02 5.009299999999999864e-02 5.507800000000000196e-02 -2.201852412999755725e-04
2.019699999999999968e-02 5.009299999999999864e-02 6.006700000000000234e-02 -3.233727686573922323e-03
2.019699999999999968e-02 5.009299999999999864e-02 6.505900000000000571e-02 -4.399270128566762047e-05
2.019699999999999968e-02 5.009299999999999864e-02 7.005400000000000515e-02 -5.235267733123542822e-03
2.019699999999999968e-02 5.009299999999999864e-02 7.505299999999999472e-02 -1.993434516551153071e-02
2.019699999999999968e-02 5.507800000000000196e-02 5.507800000000000196e-02 4.724186260639435148e-05
2.019699999999999968e-02 5.507800000000000196e-02 6.006700000000000234e-02 -4.414767617072878902e-03
2.019699999999999968e-02 5.507800000000000196e-02 6.505900000000000571e-02 -1.122536577860554045e-03
2.019699999999999968e-02 5.507800000000000196e-02 7.005400000000000515e-02 -1.997845237401017510e-03
2.019699999999999968e-02 5.507800000000000196e-02 7.505299999999999472e-02 -4.412065948657660844e-03
2.019699999999999968e-02 5.507800000000000196e-02 8.005400000000000016e-02 -1.302545333646399836e-02
2.019699999999999968e-02 6.006700000000000234e-02 6.006700000000000234e-02 -1.046310890115955718e-03
2.019699999999999968e-02 6.006700000000000234e-02 6.505900000000000571e-02 7.037358059185125998e-05
2.019699999999999968e-02 6.006700000000000234e-02 7.005400000000000515e-02 -3.024024291191412719e-03
2.019699999999999968e-02 6.006700000000000234e-02 7.505299999999999472e-02 4.225683506850737639e-03
2.019699999999999968e-02 6.006700000000000234e-02 8.005400000000000016e-02 -3.955123390316908627e-03
2.019699999999999968e-02 6.505900000000000571e-02 6.505900000000000571e-02 1.056303097510228658e-05
2.019699999999999968e-02 6.505900000000000571e-02 7.005400000000000515e-02 -1.799547201722732784e-03
2.019699999999999968e-02 6.505900000000000571e-02 7.505299999999999472e-02 -3.120080397886473671e-03
2.019699999999999968e-02 6.505900000000000571e-02 8.005400000000000016e-02 6.022740538776751897e-04
2.019699999999999968e-02 7.005400000000000515e-02 7.005400000000000515e-02 1.110604289050117020e-03
2.019699999999999968e-02 7.005400000000000515e-02 7.505299999999999472e-02 -3.360136460047190125e-03
2.019699999999999968e-02 7.005400000000000515e-02 8.005400000000000016e-02 -1.624583440340096607e-03
2.019699999999999968e-02 7.505299999999999472e-02 7.505299999999999472e-02 1.622429803329533855e-03
