# Bispectrum RIC correction for sample NGC and SN subtraction True 
#  k1_eff k2_eff k3_eff Wk_ric
2.019699999999999968e-02 4.509300000000000114e-02 6.006700000000000234e-02 6.280305592725956990e-04
2.019699999999999968e-02 4.509300000000000114e-02 6.505900000000000571e-02 -7.175100009818597552e-04
2.019699999999999968e-02 4.509300000000000114e-02 7.005400000000000515e-02 -2.294250986073321803e-03
2.019699999999999968e-02 5.009299999999999864e-02 5.009299999999999864e-02 3.092866289367268966e-04
2.019699999999999968e-02 5.009299999999999864e-02 5.507800000000000196e-02 -4.746476480499607241e-04
2.019699999999999968e-02 5.009299999999999864e-02 6.006700000000000234e-02 -5.600539211221636400e-03
2.019699999999999968e-02 5.009299999999999864e-02 6.505900000000000571e-02 -1.734889387243327395e-04
2.019699999999999968e-02 5.009299999999999864e-02 7.005400000000000515e-02 -8.775553492280065843e-03
2.019699999999999968e-02 5.009299999999999864e-02 7.505299999999999472e-02 -3.306384060148933463e-02
2.019699999999999968e-02 5.507800000000000196e-02 5.507800000000000196e-02 -2.614899008587227727e-05
2.019699999999999968e-02 5.507800000000000196e-02 6.006700000000000234e-02 -7.802690874546448427e-03
2.019699999999999968e-02 5.507800000000000196e-02 6.505900000000000571e-02 -2.052001027748330021e-03
2.019699999999999968e-02 5.507800000000000196e-02 7.005400000000000515e-02 -3.497351939929604307e-03
2.019699999999999968e-02 5.507800000000000196e-02 7.505299999999999472e-02 -7.536342540472506721e-03
2.019699999999999968e-02 5.507800000000000196e-02 8.005400000000000016e-02 -2.203882085315160902e-02
2.019699999999999968e-02 6.006700000000000234e-02 6.006700000000000234e-02 -1.953477148056484512e-03
2.019699999999999968e-02 6.006700000000000234e-02 6.505900000000000571e-02 1.061247746844889235e-05
2.019699999999999968e-02 6.006700000000000234e-02 7.005400000000000515e-02 -5.422746183088223391e-03
2.019699999999999968e-02 6.006700000000000234e-02 7.505299999999999472e-02 7.226409939831122259e-03
2.019699999999999968e-02 6.006700000000000234e-02 8.005400000000000016e-02 -6.868528044732949596e-03
2.019699999999999968e-02 6.505900000000000571e-02 6.505900000000000571e-02 -9.782218725894482728e-05
2.019699999999999968e-02 6.505900000000000571e-02 7.005400000000000515e-02 -3.367025306686429343e-03
2.019699999999999968e-02 6.505900000000000571e-02 7.505299999999999472e-02 -5.700151018802369039e-03
2.019699999999999968e-02 6.505900000000000571e-02 8.005400000000000016e-02 9.474935950148717818e-04
2.019699999999999968e-02 7.005400000000000515e-02 7.005400000000000515e-02 1.900329014931129764e-03
2.019699999999999968e-02 7.005400000000000515e-02 7.505299999999999472e-02 -6.281409008814529786e-03
2.019699999999999968e-02 7.005400000000000515e-02 8.005400000000000016e-02 -3.093626246423586326e-03
2.019699999999999968e-02 7.505299999999999472e-02 7.505299999999999472e-02 2.888933114835550570e-03
2.019699999999999968e-02 7.505299999999999472e-02 8.005400000000000016e-02 -1.489954379571266493e-03
