# Bispectrum RIC correction for sample SGC and SN subtraction True 
#  k1_eff k2_eff k3_eff Wk_ric
4.693586064746529951e-02 4.859294186493685885e-02 7.763821943786836099e-02 7.868282192185979684e-03
1.042599999999999950e-02 6.007599999999999746e-02 7.506100000000000272e-02 7.415951351632849020e-02
1.936470366062798334e-02 5.902473854919940144e-02 7.626976755383674256e-02 1.025779021745930157e-02
2.803450552988633396e-02 5.783891821839296649e-02 7.749111639167292898e-02 6.232597513698411376e-03
3.776876459059087116e-02 5.768153925975351426e-02 7.763821281888207138e-02 2.237733431525898778e-03
4.772042164064582009e-02 5.768154110856435479e-02 7.763820860027989545e-02 3.159304661749866208e-03
5.688517194110866843e-02 5.854579937351642865e-02 7.763821083085899188e-02 1.142465140922346335e-03
9.827138271116045432e-03 6.894093747125609739e-02 7.634298222095690922e-02 1.553347564791245083e-02
1.827098197630567036e-02 6.780256935551948194e-02 7.750215375991570399e-02 1.357521829713861233e-02
2.787210247237920796e-02 6.765737937504694155e-02 7.763820999763407227e-02 3.211175314237004613e-03
3.776875337997298576e-02 6.765737548377730171e-02 7.763820567751743285e-02 1.614114110204186098e-03
4.772042090045060941e-02 6.765737580807204554e-02 7.763822020943267344e-02 4.400534112046365458e-03
5.768153827357690167e-02 6.765737854166477272e-02 7.763821429497184956e-02 4.667519621601894271e-03
6.685663094474011969e-02 6.851959809443924909e-02 7.763820588622179220e-02 3.663107033023495045e-03
9.068058539981679531e-03 7.692292483376608758e-02 7.841734582392871633e-02 -5.854932980530584696e-02
1.811474516594655665e-02 7.683337780831053787e-02 7.849609965012313562e-02 1.557115517325996339e-02
2.787211207804834306e-02 7.683337617123352226e-02 7.849611524926700112e-02 4.255871811366641292e-05
3.776876231300155956e-02 7.683337989258280654e-02 7.849612554681122123e-02 -3.938324984919991910e-03
4.772041903554011255e-02 7.683337203103249302e-02 7.849610466510816009e-02 4.194698037214511163e-03
5.768154106109431301e-02 7.683337628979423906e-02 7.849611863710462267e-02 3.490442524235872444e-03
6.765737117187878291e-02 7.683337728338603123e-02 7.849612245158085755e-02 2.702719621659098459e-03
7.643176498268182406e-02 7.771776023341826767e-02 7.892418544039059292e-02 -7.858438671713917703e-03
