# Tk at z_eff=1.7634 (p=1.6, SGC) raw output of classy 
#  dict_keys(['k (h/Mpc)', 'd_g', 'd_b', 'd_cdm', 'd_ur', 'd_ncdm[0]', 'd_tot', 'phi', 'psi'])
8.853064283441744453e-02 -1.107496841440543667e-01 -4.822167791397406290e+03 -4.876677176228577991e+03 -1.068468497018998653e-01 -1.814330260226649898e+02 -4.843451197638146368e+03 8.871984981560269989e-02 8.871984976385680066e-02
9.176900992719827510e-02 -1.051837752860718678e-01 -4.916523125259304834e+03 -4.977674346213977515e+03 -1.014770647779248136e-01 -1.735779365671261019e+02 -4.942840461907708232e+03 8.426313262604478993e-02 8.426313257999289152e-02
9.507262892646779762e-02 -9.998032389931847674e-02 -5.011881279522501245e+03 -5.079143895890247222e+03 -9.645696295738576120e-02 -1.661547204817386501e+02 -5.042785038214628003e+03 8.009631663167962601e-02 8.009631659062767250e-02
9.844944571560064472e-02 -9.521703494789875155e-02 -5.115331857050690815e+03 -5.187577626554644667e+03 -9.186150413449463425e-02 -1.592726975825248417e+02 -5.149837358223167939e+03 7.628164563554708233e-02 7.628164559886475848e-02
1.019068621252263857e-01 -9.094522800677580510e-02 -5.233763544154801821e+03 -5.309337114970008770e+03 -8.774019665208825092e-02 -1.530303655749431471e+02 -5.270409139351748308e+03 7.286023353995421670e-02 7.286023350707360180e-02
1.054518826547446858e-01 -8.718165361772273192e-02 -5.372987064130257750e+03 -5.449852358917793026e+03 -8.410919997660012970e-02 -1.475101906544468022e+02 -5.409962284812745565e+03 6.984553445313280984e-02 6.984553442354386743e-02
1.090912221330706533e-01 -8.390201291725510324e-02 -5.536670806394105966e+03 -5.612647691283837048e+03 -8.094507384803256711e-02 -1.427168667584723494e+02 -5.572025403044185623e+03 6.721814956098176586e-02 6.721814953424251615e-02
1.128313855953949896e-01 -8.103946532308570205e-02 -5.725349275452116672e+03 -5.798421506167829648e+03 -7.818333616067024705e-02 -1.385505512988021053e+02 -5.757267006490851600e+03 6.492464808820527788e-02 6.492464806394748766e-02
1.166787279874305638e-01 -7.848945989025434000e-02 -5.935723176946125022e+03 -6.004383163357121703e+03 -7.572312640509400172e-02 -1.348372731492320327e+02 -5.962830224906266267e+03 6.288139170560516633e-02 6.288139168353666653e-02
1.206394989759898007e-01 -7.612044155950403734e-02 -6.160432881272809936e+03 -6.224011729561962056e+03 -7.343753164005907552e-02 -1.313558684523429747e+02 -6.182095244575053584e+03 6.098313007783815604e-02 6.098313005773432077e-02
1.247198766315051471e-01 -7.379093003597894662e-02 -6.388583823072352061e+03 -6.447496840065981814e+03 -7.119006384886519823e-02 -1.278726455239599886e+02 -6.405131323159288513e+03 5.911664243530406759e-02 5.911664241699851607e-02
1.289259927523367377e-01 -7.137105496160096874e-02 -6.607168085560660074e+03 -6.663003881919225933e+03 -6.885543480316839993e-02 -1.241700109562313941e+02 -6.619980098456542692e+03 5.717797620610128029e-02 5.717797618947128430e-02
