# Bispectrum monopole for NGC data, rebinned to s=2*kf 
# Subtracted SN: kindep 
# k1-eff k2-eff k3-eff B0 B0-BSN BSN N_tr
9.772877285543780587e-03 2.912123895628971129e-02 3.647074903253253592e-02 7.526572607155308723e+09 3.119783939491220474e+09 4.406788667664088249e+09 3.591965560000560284e+08
1.822672198381795200e-02 2.801471471023301782e-02 3.763700367554387305e-02 1.290887195672724915e+10 8.502083289063160896e+09 4.406788667664088249e+09 1.977407243999825954e+09
2.711676035383993669e-02 2.875704790598182514e-02 3.776642144568346376e-02 1.048681905003379822e+10 6.080030382369709969e+09 4.406788667664088249e+09 2.473249392000177860e+09
9.012075274430094568e-03 3.709151422881420967e-02 3.857191632274038773e-02 1.253907575283650589e+10 8.132287085172417641e+09 4.406788667664088249e+09 8.611336979999209642e+08
1.807294225032100507e-02 3.699437271235446467e-02 3.864657612089328342e-02 1.278582549557490921e+10 8.379036827910820961e+09 4.406788667664088249e+09 2.145163511999900818e+09
2.786623562463307405e-02 3.699435452042207362e-02 3.864660570237610226e-02 9.452114296966291428e+09 5.045325629302203178e+09 4.406788667664088249e+09 3.368413728000577927e+09
3.661163047499746415e-02 3.792802131429758028e-02 3.908288250127854579e-02 8.795698434586259842e+09 4.388909766922171593e+09 4.406788667664088249e+09 3.070398743999766350e+09
2.019699999999999968e-02 2.019699999999999968e-02 4.509300000000000808e-02 4.032268526066206360e+10 3.591589659299797821e+10 4.406788667664088249e+09 6.102269999995999970e+06
1.037300000000000028e-02 3.013699999999999712e-02 4.509300000000000114e-02 2.756672863075609589e+10 2.315993996309200668e+10 4.406788667664088249e+09 4.731566000004000030e+06
1.932819369106507368e-02 2.917018583858432129e-02 4.634888460612558714e-02 1.359313408751165962e+10 9.186345419847572327e+09 4.406788667664088249e+09 9.557950659999589920e+08
2.727701673116875170e-02 2.903445806522166744e-02 4.753683441137757093e-02 1.255879291653805161e+10 8.152004248873963356e+09 4.406788667664088249e+09 2.901448182000266075e+09
9.774238265697444278e-03 3.904017987234264381e-02 4.640957192072686643e-02 1.189836134063906479e+10 7.491572672974976540e+09 4.406788667664088249e+09 6.166410259998629093e+08
1.823018289924600160e-02 3.791602596736555475e-02 4.758342700741841763e-02 1.393545231513392639e+10 9.528663647469837189e+09 4.406788667664088249e+09 3.417948956000230789e+09
2.786621561751961157e-02 3.776647999135759187e-02 4.771836661248489431e-02 1.020105322910059547e+10 5.794264561436507225e+09 4.406788667664088249e+09 5.693742264001055717e+09
3.699435683659018509e-02 3.864657759467934189e-02 4.771836190375947778e-02 9.726152887272274017e+09 5.319364219608185768e+09 4.406788667664088249e+09 5.830351152002368927e+09
9.013294123073584130e-03 4.702517105204404024e-02 4.851262417833394208e-02 8.947624679306138992e+09 4.540836011642050743e+09 4.406788667664088249e+09 1.386376271999896765e+09
1.807292522275616431e-02 4.692946564494847317e-02 4.859052737281770173e-02 1.003420246639319611e+10 5.627413798729107857e+09 4.406788667664088249e+09 3.455409720000634193e+09
