# Bispectrum monopole for SGC EZmock_shuffled
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  Std_dev  Std_dev(-BSN)
1.042599999999999950e-02 2.516799999999999940e-02 3.012099999999999847e-02 1.530280605742482185e+10 9.704225649026779175e+09 7.212814266724994659e+09 7.211219852408080101e+09
1.042599999999999950e-02 2.516799999999999940e-02 3.511199999999999738e-02 1.622439136331172371e+10 1.062581095491368675e+10 8.670618620095882416e+09 8.669997908491483688e+09
1.042599999999999950e-02 2.516799999999999940e-02 4.010899999999999882e-02 1.549439625071837807e+10 9.895815842320339203e+09 1.848820948921942520e+10 1.848841119716551971e+10
1.042599999999999950e-02 3.012099999999999847e-02 3.012099999999999847e-02 1.483915294275171852e+10 9.240572534353679657e+09 8.950709596959745407e+09 8.949965894532365799e+09
1.042599999999999950e-02 3.012099999999999847e-02 3.511199999999999738e-02 1.474435270622882080e+10 9.145772297830799103e+09 6.247857586693926811e+09 6.246383575311232567e+09
1.042599999999999950e-02 3.012099999999999847e-02 4.010899999999999882e-02 1.517940834386170006e+10 9.580827935463676453e+09 7.136956666822999954e+09 7.137105004828259468e+09
1.042599999999999950e-02 3.012099999999999847e-02 4.509300000000000114e-02 1.492592577326442146e+10 9.327345364866399765e+09 1.584913580897087288e+10 1.584898378095210075e+10
1.042599999999999950e-02 3.511199999999999738e-02 3.511199999999999738e-02 1.378009192285214043e+10 8.181511514454073906e+09 7.688124647608754158e+09 7.688936759969757080e+09
1.042599999999999950e-02 3.511199999999999738e-02 4.010899999999999882e-02 1.388765788098856926e+10 8.289077472590523720e+09 5.336764400123106003e+09 5.337115469861781120e+09
1.042599999999999950e-02 3.511199999999999738e-02 4.509300000000000114e-02 1.410800437949788284e+10 8.509423971099857330e+09 6.220719691986986160e+09 6.220221810220195770e+09
1.042599999999999950e-02 3.511199999999999738e-02 5.008300000000000252e-02 1.496913242504811859e+10 9.370552016650100708e+09 1.339871191712155533e+10 1.339782584817055511e+10
1.042599999999999950e-02 4.010899999999999882e-02 4.010899999999999882e-02 1.312571395530787849e+10 7.527133546909849167e+09 6.325550687092747688e+09 6.327345140252152443e+09
1.042599999999999950e-02 4.010899999999999882e-02 4.509300000000000114e-02 1.329298466165701866e+10 7.694404253258968353e+09 4.505828359898771286e+09 4.506034475900067329e+09
1.042599999999999950e-02 4.010899999999999882e-02 5.008300000000000252e-02 1.369586017939391708e+10 8.097279770995881081e+09 5.371544826723539352e+09 5.370082423487421989e+09
1.042599999999999950e-02 4.010899999999999882e-02 5.508300000000000002e-02 1.429026612675375557e+10 8.691685718355730057e+09 1.187400516332905769e+10 1.187375469921755981e+10
1.042599999999999950e-02 4.509300000000000114e-02 4.509300000000000114e-02 1.270330611015268707e+10 7.104725701754635811e+09 5.322379173447288513e+09 5.322252223424574852e+09
1.042599999999999950e-02 4.509300000000000114e-02 5.008300000000000252e-02 1.303128474353399277e+10 7.432704335135942459e+09 4.115341544328773499e+09 4.113853523088175774e+09
1.042599999999999950e-02 4.509300000000000114e-02 5.508300000000000002e-02 1.329238671046371078e+10 7.693806302065669060e+09 4.541935385541266441e+09 4.540154368111053467e+09
1.042599999999999950e-02 4.509300000000000114e-02 6.007599999999999746e-02 1.350702844126653862e+10 7.908448032868488312e+09 1.009055362228519821e+10 1.009137246024454308e+10
1.042599999999999950e-02 5.008300000000000252e-02 5.008300000000000252e-02 1.267029287304853249e+10 7.071712464650502205e+09 5.105824605403864861e+09 5.104739522864221573e+09
