# Bispectrum monopole for SGC EZmock_realistic
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  Std_dev  Std_dev(-BSN)
1.528299999999999971e-02 3.511199999999999738e-02 5.508300000000000002e-02 1.417619551537023163e+10 8.365591653036940575e+09 1.017722813418199158e+10 1.017660225438553429e+10
1.528299999999999971e-02 4.010899999999999882e-02 4.010899999999999882e-02 1.307583288612252045e+10 7.265229023789224625e+09 4.518736738520516396e+09 4.519040075217760086e+09
1.528299999999999971e-02 4.010899999999999882e-02 4.509300000000000114e-02 1.302843031515405083e+10 7.217826452820760727e+09 3.046606671146460056e+09 3.046015537960408211e+09
1.528299999999999971e-02 4.010899999999999882e-02 5.008300000000000252e-02 1.316791901734101677e+10 7.357315155007729530e+09 2.991219516467650890e+09 2.991179788273733139e+09
1.528299999999999971e-02 4.010899999999999882e-02 5.508300000000000002e-02 1.337191924362749863e+10 7.561315381294210434e+09 3.827879185118857861e+09 3.828024960938460350e+09
1.528299999999999971e-02 4.010899999999999882e-02 6.007599999999999746e-02 1.310494478550872231e+10 7.294340923175433159e+09 9.400110619331323624e+09 9.401451839666965485e+09
1.528299999999999971e-02 4.509300000000000114e-02 4.509300000000000114e-02 1.250581911445722961e+10 6.695215252123930931e+09 3.919000277233852386e+09 3.919420834904837132e+09
1.528299999999999971e-02 4.509300000000000114e-02 5.008300000000000252e-02 1.248456468513582230e+10 6.673960822802518845e+09 2.773259951095266819e+09 2.773493837826670647e+09
1.528299999999999971e-02 4.509300000000000114e-02 5.508300000000000002e-02 1.271013383319459724e+10 6.899529970861314774e+09 2.769659718878065586e+09 2.769129525321038723e+09
1.528299999999999971e-02 4.509300000000000114e-02 6.007599999999999746e-02 1.293463531199363518e+10 7.124031449660331726e+09 3.331308749393579483e+09 3.331147629778589249e+09
1.528299999999999971e-02 4.509300000000000114e-02 6.506599999999999884e-02 1.276746613261129379e+10 6.956862270278009415e+09 7.818738788301179886e+09 7.819492504069474220e+09
1.528299999999999971e-02 5.008300000000000252e-02 5.008300000000000252e-02 1.215022741911651230e+10 6.339623556783218384e+09 3.527972440009620667e+09 3.529147496652603149e+09
1.528299999999999971e-02 5.008300000000000252e-02 5.508300000000000002e-02 1.213533776619041061e+10 6.324733903857130051e+09 2.453821769006706715e+09 2.453376414874475479e+09
1.528299999999999971e-02 5.008300000000000252e-02 6.007599999999999746e-02 1.235783864225563049e+10 6.547234779922348022e+09 2.438347565443472385e+09 2.438185382031316280e+09
1.528299999999999971e-02 5.008300000000000252e-02 6.506599999999999884e-02 1.253943924858632851e+10 6.728835386253026009e+09 3.052422763405341625e+09 3.051539449046283245e+09
1.528299999999999971e-02 5.008300000000000252e-02 7.006400000000000128e-02 1.235129904610301399e+10 6.540695183769753456e+09 7.059531996051004410e+09 7.059736432089227676e+09
1.528299999999999971e-02 5.508300000000000002e-02 5.508300000000000002e-02 1.201303529880660439e+10 6.202431436473300934e+09 3.162406742409691334e+09 3.161435826696201801e+09
1.528299999999999971e-02 5.508300000000000002e-02 6.007599999999999746e-02 1.195772608267586708e+10 6.147122220342584610e+09 2.246052501200369358e+09 2.244545832158820152e+09
1.528299999999999971e-02 5.508300000000000002e-02 6.506599999999999884e-02 1.204744751267019844e+10 6.236843650336922646e+09 2.219828538712713242e+09 2.219356343028406143e+09
1.528299999999999971e-02 5.508300000000000002e-02 7.006400000000000128e-02 1.207390643561590576e+10 6.263302573282639503e+09 2.800520659875986099e+09 2.800569108317046165e+09
1.528299999999999971e-02 5.508300000000000002e-02 7.506100000000000272e-02 1.246576379245346069e+10 6.655159930120169640e+09 6.458716301752655983e+09 6.459049692054294586e+09
1.528299999999999971e-02 6.007599999999999746e-02 6.007599999999999746e-02 1.173303105752992249e+10 5.922427195196639061e+09 2.898967515027362347e+09 2.899209019889560223e+09
1.528299999999999971e-02 6.007599999999999746e-02 6.506599999999999884e-02 1.167710434871381378e+10 5.866500486380537987e+09 2.001450405647291183e+09 2.001288467366749287e+09
1.528299999999999971e-02 6.007599999999999746e-02 7.006400000000000128e-02 1.179633361267236710e+10 5.985729750339078903e+09 2.055416335664095879e+09 2.056156671052744389e+09
1.528299999999999971e-02 6.007599999999999746e-02 7.506100000000000272e-02 1.198157141797634888e+10 6.170967555643060684e+09 2.505120574482941151e+09 2.503572824543976307e+09
1.528299999999999971e-02 6.007599999999999746e-02 8.005600000000000216e-02 1.226897567737991524e+10 6.458371815046641350e+09 6.128236954868548393e+09 6.127963356059689522e+09
1.528299999999999971e-02 6.506599999999999884e-02 6.506599999999999884e-02 1.153766607453630066e+10 5.727062212203022003e+09 2.584235739094906330e+09 2.584567153545845985e+09
1.528299999999999971e-02 6.506599999999999884e-02 7.006400000000000128e-02 1.153525812333453941e+10 5.724654261001259804e+09 1.861605581035692215e+09 1.862590792002138138e+09
1.528299999999999971e-02 6.506599999999999884e-02 7.506100000000000272e-02 1.153539764204211807e+10 5.724793779708831787e+09 1.928887058015952826e+09 1.928166008964382648e+09
1.528299999999999971e-02 6.506599999999999884e-02 8.005600000000000216e-02 1.178734945177867699e+10 5.976745589445405006e+09 2.443888451180435658e+09 2.442476532530932903e+09
1.528299999999999971e-02 7.006400000000000128e-02 7.006400000000000128e-02 1.128267677303719330e+10 5.472072910703910828e+09 2.367530167967117786e+09 2.368676249428553581e+09
1.528299999999999971e-02 7.006400000000000128e-02 7.506100000000000272e-02 1.119381917359752274e+10 5.383215311264243126e+09 1.725808563027865887e+09 1.726206113033755064e+09
1.528299999999999971e-02 7.006400000000000128e-02 8.005600000000000216e-02 1.136719307494059753e+10 5.556589212607322693e+09 1.749263126808190346e+09 1.749347795199149847e+09
1.528299999999999971e-02 7.506100000000000272e-02 7.506100000000000272e-02 1.101415879495621872e+10 5.203554932622936249e+09 2.236939680381783485e+09 2.236880364380250931e+09
1.528299999999999971e-02 7.506100000000000272e-02 8.005600000000000216e-02 1.104966581223255539e+10 5.239061949899261475e+09 1.634313429063675165e+09 1.634055975159319878e+09
1.528299999999999971e-02 8.005600000000000216e-02 8.005600000000000216e-02 1.075959896759901047e+10 4.948995105265725136e+09 2.072619292962152958e+09 2.073617455726428032e+09
