# Bispectrum monopole for NGC EZmock_shuffled
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  Std_dev  Std_dev(-BSN)
5.738000000000000045e-03 7.005400000000000515e-02 7.505299999999999472e-02 9.326240646708677292e+09 4.827661775156638145e+09 5.590744711032279015e+09 5.590641291981283188e+09
5.738000000000000045e-03 7.005400000000000515e-02 8.005400000000000016e-02 9.998714105529350281e+09 5.500135233977333069e+09 8.751559435501304626e+09 8.751018422403535843e+09
5.738000000000000045e-03 7.505299999999999472e-02 7.505299999999999472e-02 8.237128816526762962e+09 3.738549944974745750e+09 7.524578251802495956e+09 7.524134562285891533e+09
5.738000000000000045e-03 7.505299999999999472e-02 8.005400000000000016e-02 9.179502942550447464e+09 4.680924070998418808e+09 5.372528911322471619e+09 5.371904853286499977e+09
5.738000000000000045e-03 8.005400000000000016e-02 8.005400000000000016e-02 8.012006208151632309e+09 3.513427336599614620e+09 7.208728125543161392e+09 7.208499841661069870e+09
1.037300000000000028e-02 1.037300000000000028e-02 1.037300000000000028e-02 1.358675338139776039e+10 9.088174509845754623e+09 4.011200325337747192e+10 4.011216972789263153e+10
1.037300000000000028e-02 1.037300000000000028e-02 1.525999999999999926e-02 1.346036361105147934e+10 8.961784739499444962e+09 1.954078149405718613e+10 1.954109058833403397e+10
1.037300000000000028e-02 1.037300000000000028e-02 2.019699999999999968e-02 1.167979523001066399e+10 7.181216358458640099e+09 2.201021185845992279e+10 2.200952673847819519e+10
1.037300000000000028e-02 1.037300000000000028e-02 2.516699999999999840e-02 1.434910891484627151e+10 9.850530043294263840e+09 5.190662059335460663e+10 5.190656217987336731e+10
1.037300000000000028e-02 1.525999999999999926e-02 1.525999999999999926e-02 1.358124496442370224e+10 9.082666092871675491e+09 1.552804550987696838e+10 1.552776747595322037e+10
1.037300000000000028e-02 1.525999999999999926e-02 2.019699999999999968e-02 1.439379848500682449e+10 9.895219613454822540e+09 9.838139601004043579e+09 9.837670430784627914e+09
1.037300000000000028e-02 1.525999999999999926e-02 2.516699999999999840e-02 1.511337877393175316e+10 1.061479990237973213e+10 1.190128493673457909e+10 1.190081141708037758e+10
1.037300000000000028e-02 1.525999999999999926e-02 3.013700000000000059e-02 1.730764466344718552e+10 1.280906579189517021e+10 2.788963360341251755e+10 2.788878605010062027e+10
1.037300000000000028e-02 2.019699999999999968e-02 2.019699999999999968e-02 1.411523131836705208e+10 9.616652446815019608e+09 1.159061031196587181e+10 1.159010971729142570e+10
1.037300000000000028e-02 2.019699999999999968e-02 2.516699999999999840e-02 1.415005908611088562e+10 9.651480214558876038e+09 7.646914758061023712e+09 7.646344921547648430e+09
1.037300000000000028e-02 2.019699999999999968e-02 3.013700000000000059e-02 1.440919250902477264e+10 9.910613637472766876e+09 9.169370889368265152e+09 9.167697834489595413e+09
1.037300000000000028e-02 2.019699999999999968e-02 3.511100000000000332e-02 1.515216046721574020e+10 1.065358159566374016e+10 2.131311663425914001e+10 2.131302425674589157e+10
1.037300000000000028e-02 2.516699999999999840e-02 2.516699999999999840e-02 1.351486450888408279e+10 9.016285637332061768e+09 9.494553748880834579e+09 9.494165854026756287e+09
1.037300000000000028e-02 2.516699999999999840e-02 3.013700000000000059e-02 1.352111783937319374e+10 9.022538967821174622e+09 6.092726943380493164e+09 6.092795422015910149e+09
1.037300000000000028e-02 2.516699999999999840e-02 3.511100000000000332e-02 1.437718126686548615e+10 9.878602395313457489e+09 7.038483832172169685e+09 7.037696533743603706e+09
1.037300000000000028e-02 2.516699999999999840e-02 4.009599999999999970e-02 1.430478571307828522e+10 9.806206841526243210e+09 1.762941347163007736e+10 1.762849912976776123e+10
1.037300000000000028e-02 3.013700000000000059e-02 3.013700000000000059e-02 1.285829217341941833e+10 8.359713301867401123e+09 7.261051171767574310e+09 7.260480799445366859e+09
1.037300000000000028e-02 3.013700000000000059e-02 3.511100000000000332e-02 1.268823619243387222e+10 8.189657320881861687e+09 5.093471392060232162e+09 5.092629601500290871e+09
1.037300000000000028e-02 3.013700000000000059e-02 4.009599999999999970e-02 1.317383601984679222e+10 8.675257148294765472e+09 6.165074543500075340e+09 6.164607519239897728e+09
1.037300000000000028e-02 3.013700000000000059e-02 4.509300000000000114e-02 1.425223237063351822e+10 9.753653499081499100e+09 1.379296639812107849e+10 1.379315418212986755e+10
